#NearbyGene	NearbyGeneSymbol	P-value - mRNAs	Fold change - mRNAs
ENSRNOT00000012318	AABR06018038.1	4.45E-06	3.1079188
NM_001107681	Ppm1l	4.42E-06	2.6282396
NM_001107682	Nmd3	2.03E-07	3.8618763
NM_012759	Vav1	0.000234226	2.5510433
NM_001191803	Tnfsf14	7.86E-06	4.2566356
NM_181384	Tnfsf9	4.27E-05	5.0115358
ENSRNOT00000036219	Dppa3l1	8.95E-05	2.0386338
NM_001106824	Pstpip1	6.54E-10	16.9601638
NM_017132	Rcn2	1.09E-08	6.0821981
NM_012502	Ar	3.07E-06	3.091191
NM_001105811	Rilp	9.74E-07	3.1620942
NM_001105812	Slc43a2	2.40E-06	2.9312787
ENSRNOT00000015907	Ankrd36	2.68E-05	3.9067456
NM_001004210	Xbp1	1.12E-07	7.3691075
NM_001271731	Xbp1	0.000264319	2.2169423
NM_001277211	Dbnl	7.73E-08	34.6736786
NM_001191821	Frmd4a	0.000114716	2.0980465
NM_017258	Btg1	1.72E-05	3.6672037
NM_017146	Mcpt10	0.004942844	6.4565352
NM_001245978	Frem2	0.000110473	2.2530514
ENSRNOT00000074478	LOC102546376	0.048858268	2.1991528
ENSRNOT00000012135	LOC100361349	0.000470724	2.1002008
ENSRNOT00000067346	AABR06019060.1	0.000116312	2.0322793
NM_001025776	Rhox8	0.000582451	2.153307
NM_001037581	Rhox10	0.000368167	4.3359496
NM_001079896	LOC367975	3.63E-06	6.9675629
ENSRNOT00000001635	LOC100361664	6.23E-09	35.3138987
ENSRNOT00000045125	Gm10100	2.42E-09	23.5877581
ENSRNOT00000071454	AABR06100208.3	5.02E-05	2.1815379
ENSRNOT00000073009	AABR06100209.1	8.72E-06	2.1274746
ENSRNOT00000001633	LOC100365646	0.000105074	3.9394412
NM_001109586	LOC690386	4.42E-08	4.6924446
NM_001109590	LOC690415	4.27E-06	7.5846216
NM_001037581	Rhox10	0.000368167	4.3359496
NM_001079896	LOC367975	3.63E-06	6.9675629
NM_001025776	Rhox8	0.000582451	2.153307
NM_133584	Pde5a	2.04E-08	10.5665388
NM_001077590	Bves	0.009222381	3.1766423
NM_012718	Andpro	0.00245614	2.152255
ENSRNOT00000014360	Helt	1.48E-07	34.0116955
ENSRNOT00000061476	AABR06058610.1	0.000120913	2.8977555
ENSRNOT00000071620	LOC100912852	2.62E-05	2.9403889
ENSRNOT00000074599	AABR06058583.1	7.98E-05	3.3914554
NM_001108021	Klhl15	3.36E-05	2.1107886
ENSRNOT00000048127	LOC685700	0.028156449	2.3112038
NM_001191618	Tspyl2	0.008077388	2.2592186
ENSRNOT00000059403	Btn2a2	9.21E-08	3.062341
ENSRNOT00000072286	LOC680097	7.66E-06	2.8504133
ENSRNOT00000075098	Btn2a2	4.34E-06	2.0052461
ENSRNOT00000075069	LOC684828	7.46E-06	3.9526286
NM_001106113	Hist1h1a	0.000324011	3.0726875
NM_001107352	Hist1h2bh	1.93E-06	2.5080908
NM_001107354	Hist1h2an	0.000129834	2.3044222
NM_012579	Hist1h1t	0.000508576	3.6473925
NM_001000017	Olr1440	0.00013715	2.4397895
NM_001105811	Rilp	9.74E-07	3.1620942
NM_001105812	Slc43a2	2.40E-06	2.9312787
NM_053580	Slc27a1	4.57E-07	2.2324928
NM_001011919	Gtpbp3	2.85E-06	2.8086565
NM_198134	Bst2	1.33E-07	10.7561365
NM_030840	Slc26a5	0.004479366	2.2724319
NM_001191676	Ugt2b10	0.002588935	2.8269953
NM_012643	Ret	0.004312776	4.846864
ENSRNOT00000042277	Rasgef1a	5.96E-06	2.6888825
ENSRNOT00000005908	Ccdc88c	6.65E-05	2.2463866
ENSRNOT00000071267	Ccdc88c	1.90E-05	3.6105642
ENSRNOT00000042656	AABR06108321.1	0.000439361	2.0792603
NM_053820	Ebf1	0.000299533	2.1295814
ENSRNOT00000060583	RGD1565779	0.004069059	2.0253687
NM_001017932	Wdr55	2.72E-05	2.7752654
NM_021744	Cd14	1.26E-07	6.5340659
NM_013114	Selp	0.001631743	2.1584625
NM_138879	Sele	0.000150359	4.7724674
NM_019267	Bckdhb	1.54E-06	3.0736847
NM_012589	Il6	9.20E-06	3.8778133
NM_001001119	Olr1734	6.00E-07	2.2007785
NM_053299	Ubd	0.00209358	3.8883841
ENSRNOT00000022389	Idi1	1.34E-07	2.8397688
ENSRNOT00000043269	AABR06058265.1	2.26E-05	3.7418523
ENSRNOT00000071982	LOC100360856	0.000167145	2.9346381
ENSRNOT00000073775	LOC100360856	0.000157085	2.9921535
NM_001163153	Cox16	1.90E-08	35.7267283
NM_078620	Slc8a3	6.62E-07	5.8260495
ENSRNOT00000060002	Pram1	4.75E-05	2.5415968
NM_001108076	Myo1f	1.98E-05	2.8107764
NM_001277885	Tmem247	0.000117363	3.085072
NM_023090	Epas1	5.32E-07	3.2646361
NM_001000519	Olr1307	1.16E-06	5.801824
ENSRNOT00000064292	Zswim6	9.38E-05	3.2305597
NM_001107940	Megf9	1.28E-08	2.861358
NM_001109083	Nsl1	0.013449863	2.0355438
NM_139329	Hsd3b7	3.32E-06	2.678437
ENSRNOT00000023109	Zfp185	7.05E-08	6.1319607
ENSRNOT00000072259	Zfp185	1.29E-05	7.4116378
NM_001009399	Nsdhl	1.52E-05	2.2135203
NM_001107267	Lats2	3.30E-05	3.0579711
NM_001191722	Fndc3c1	0.000104741	2.7427457
ENSRNOT00000040776	AABR06045600.2	0.002324329	2.0236483
ENSRNOT00000072780	AABR06004569.1	2.92E-06	2.5783352
ENSRNOT00000076919	Slfn3	0.000300445	2.6692632
NM_001107031	Slfn2	2.18E-06	3.4805693
ENSRNOT00000017378	Krtap9-1	5.48E-07	2.1062342
ENSRNOT00000046526	Krtap9-1	6.33E-06	2.2549743
ENSRNOT00000073764	LOC680442	1.73E-09	2.0609821
NM_001004021	Krt13	2.05E-05	3.3522929
NM_001004022	Krt15	0.045646691	2.1723567
NM_001008751	Krt14	4.54E-06	2.3010903
NM_199498	Krt19	2.81E-05	4.2852684
NM_001034157	Gpank1	0.001208927	2.0264477
NM_017196	Aif1	1.09E-05	3.6021044
NM_022634	Lst1	9.92E-05	3.478841
NM_181822	Ncr3	0.000206365	2.2768745
NM_001001970	Ly6g6d	0.031665775	3.9358986
NM_001004069	Sapcd1	0.015963236	2.5141798
NM_001008837	RT1-CE14	0.004077621	2.0358444
NM_001008841	RT1-CE3	0.000144727	2.6486839
NM_001008843	RT1-CE5	0.008535068	2.0939313
NM_212499	Vwa7	1.13E-08	80.7631379
NM_212504	Hspa1b	8.06E-05	8.184908
NM_172055	Cited1	5.08E-06	2.1079128
NM_053479	Pola1	0.000867982	2.3975302
NM_001107189	Tnn	5.07E-05	2.5390567
NM_001107190	Rabgap1l	8.81E-06	2.475595
NM_001108759	Siae	0.000398488	3.2224661
NM_053482	Spa17	2.41E-08	3.4899786
NM_001107176	Optc	8.34E-06	3.8833293
NM_053409	Maged1	6.08E-08	2.2644226
NM_001025002	LOC310926	0.044715711	3.6875142
ENSRNOT00000059627	Ptpn3	5.80E-05	2.0821306
NM_022254	Gpr85	6.36E-06	3.2887824
NM_144750	Aspg	1.51E-06	3.5286211
NM_031689	Cryba4	0.000422572	3.8900851
ENSRNOT00000072094	AABR06107429.1	0.001031968	3.7710131
NM_053744	Dlk1	4.98E-05	2.1625055
ENSRNOT00000031978	LOC691354	6.28E-05	2.1621439
NM_001100523	Otp	0.019876919	2.7197929
ENSRNOT00000011926	Dach1	5.06E-06	4.1877778
NM_053583	Zfp423	3.80E-06	3.1133396
NM_001107413	Irx3	2.42E-05	8.5222502
ENSRNOT00000030993	LOC685114	3.89E-06	2.7624945
NM_001108885	Klhl14	2.21E-06	6.6100497
NM_053479	Pola1	0.000867982	2.3975302
ENSRNOT00000031978	LOC691354	6.28E-05	2.1621439
NM_001108797	Fam117b	8.19E-06	2.0801892
ENSRNOT00000067235	Ms4a18	1.26E-06	3.4694454
NM_001191897	Ms4a15	2.85E-09	4.5147525
ENSRNOT00000074966	LOC100911403	0.000630294	2.2127407
ENSRNOT00000011325	Ccdc30	0.002106767	2.0405402
NM_001014139	Slain1	7.87E-07	4.1844015
NM_198764	Sh3rf1	2.47E-05	2.665554
NM_022230	Stc2	4.54E-07	26.6455868
NM_053570	Cxadr	2.27E-06	2.1350042
NM_153724	Rcan1	0.000110353	11.9101229
NM_144744	Adipoq	1.11E-06	15.5772105
NM_001106930	Efcab1	9.52E-05	3.8384384
NM_001109060	Stard13	1.31E-05	2.6371423
ENSRNOT00000038577	Zfp12	9.75E-07	7.5391918
NM_181638	Tbx3	5.10E-05	2.7579689
NM_181638	Tbx3	5.10E-05	2.7579689
NM_181638	Tbx3	5.10E-05	2.7579689
NM_001106024	Pde6b	4.13E-09	31.8367071
NM_080481	Atp5i	3.41E-07	2.280318
NM_001006962	Tinf2	1.36E-05	2.5060712
NM_021656	Ltb4r	7.66E-08	5.5430781
NM_053640	Ltb4r2	7.50E-06	2.3475531
ENSRNOT00000049315	Mcpt8l3	0.00643889	6.1041822
NM_001135010	Mcpt8l2	0.000361479	6.708266
NM_013092	Cma1	9.69E-05	10.6374575
NM_019323	Mcpt9	0.008209411	4.1507595
NM_021598	Mcpt8	0.00550443	6.8698077
NM_133411	Abcc4	7.68E-06	2.3244092
NM_001107286	Tgds	3.14E-05	2.0531352
ENSRNOT00000075101	AABR06087888.1	1.04E-05	2.8044783
NM_001047978	LOC689713	1.62E-05	3.1036942
NM_138893	Myo16	0.000753442	5.7949685
NM_022179	Hk3	4.87E-07	4.0127918
NM_022206	Unc5a	8.43E-07	5.2298813
ENSRNOT00000075579	Eif4e1b	5.20E-09	25.4511676
NM_012546	Drd1	3.92E-06	10.4021002
ENSRNOT00000071469	LOC689569	4.73E-08	2.2890413
NM_001031642	Serpinb1a	7.53E-10	11.5764235
NM_001007732	Serpinb9	4.39E-07	2.8589611
NM_001107365	Camk1d	2.29E-07	4.85861
NM_012551	Egr1	5.61E-06	5.320552
NM_053398	Gfra3	0.00169435	2.5994882
NM_001100973	Pard6g	4.77E-08	2.593167
NM_017051	Sod2	0.000138828	3.1213562
NM_001107529	Prc1	0.000166729	2.9174289
NM_031145	Cib1	8.64E-07	2.1775036
ENSRNOT00000047044	RGD1566189	5.18E-10	7.2608548
NM_001033691	Irf7	1.26E-05	3.3860684
NM_022670	Sct	0.000151274	33.8335332
NM_001013153	Ubtd1	5.59E-07	3.1903787
NM_001107589	Ankrd2	2.04E-05	2.5792675
NM_134373	Avpi1	1.42E-07	2.7689723
NM_001107591	Sfrp5	4.79E-05	2.8268837
NM_134401	Crtac1	0.014759852	4.0344865
ENSRNOT00000001583	Rrp1b	8.67E-05	2.165856
NM_031769	Pdxk	5.53E-06	2.186053
NM_001004225	RGD1303003	1.62E-05	2.2071799
NM_001173528	Trappc10	0.000381318	2.0156531
NM_001007797	Arrdc3	8.15E-06	2.7900089
NM_001108950	Gnat2	4.37E-07	3.8917313
ENSRNOT00000014695	Zgrf1	0.022963526	2.4294886
ENSRNOT00000030798	Alpk1	0.000535974	2.1982215
NM_001012084	Adh6	4.42E-06	5.8515439
NM_139104	Egfl7	0.001347466	2.21844
NM_053573	Olfm1	0.000526262	2.2079092
NM_053634	Fcnb	0.002536771	4.0774799
NM_138710	Dab2ip	2.40E-09	48.3721051
NM_001012741	Lipg	1.24E-06	4.8620019
NM_001013160	Trim69	0.00081709	2.3495663
NM_017052	Sord	1.08E-07	8.9222411
NM_024141	Duox2	1.13E-05	2.9340275
NM_001106517	Sptlc3	1.05E-06	4.3295718
ENSRNOT00000045637	AABR06026447.1	8.72E-09	6.1309469
ENSRNOT00000026712	AABR06027215.1	8.58E-05	2.3452405
NM_001047111	Dbndd2	8.24E-05	2.2586264
NM_001106539	Matn4	3.05E-07	6.900049
NM_012649	Sdc4	4.69E-08	3.5771252
ENSRNOT00000072728	RGD1563818	0.000306181	4.0321784
NM_001008873	Slpil3	0.000104216	5.2883073
NM_053372	Slpi	0.000638504	3.957981
NM_031557	Ptgis	6.94E-07	4.7062639
NM_214459	Phactr3	1.15E-07	99.7599516
ENSRNOT00000039316	Gprin3	2.18E-06	11.2146742
NM_001100749	Mxd1	0.000399973	2.2625109
NM_022267	Ccnd2	0.000468013	2.1714591
ENSRNOT00000049662	Dyrk4	0.025681615	2.0410728
NM_001079711	Rad51ap1	2.27E-09	38.9273319
NM_001048075	Clec2g	1.27E-06	4.4320917
NM_001134716	Clec12a	1.52E-06	4.8813024
NM_134327	Cd69	0.000438053	2.7905976
ENSRNOT00000059627	Ptpn3	5.80E-05	2.0821306
NM_001100713	Rap1gap	4.05E-06	2.2269051
NM_053596	Ece1	8.22E-06	3.1534782
NM_001106694	Pink1	4.36E-06	2.6992184
NM_001106695	Mul1	3.49E-07	3.978536
NM_001108007	Pkdcc	4.20E-05	2.0779685
NM_053795	Kidins220	5.86E-07	5.5034485
NM_053795	Kidins220	5.86E-07	5.5034485
NM_022197	Fos	4.49E-07	6.5233756
NM_053744	Dlk1	4.98E-05	2.1625055
NM_017258	Btg1	1.72E-05	3.6672037
NM_001008384	Rac2	0.000354297	2.8302681
NM_001130577	Cyth4	0.000909292	3.807663
NM_001044289	Tex33	2.54E-05	2.6260526
NM_053559	Trpc6	0.001795291	2.3143196
NM_138544	Fat3	1.04E-05	4.4229829
NM_001106813	Crtam	4.80E-06	4.0937146
ENSRNOT00000047820	RGD1565368	0.000446709	2.2673849
NM_001007752	Mns1	1.01E-05	2.1764935
NM_001191801	Trim71	0.001693121	2.1649518
NM_199111	Nfkbie	0.000195266	2.1148755
NM_019143	Fn1	2.19E-08	6.9605147
NM_001192002	Mreg	5.52E-06	4.3845428
NM_013122	Igfbp2	1.64E-05	3.2539769
NM_001014269	Lrrfip1	1.47E-05	5.2355139
NM_031645	Ramp1	0.000140138	2.4183851
ENSRNOT00000027232	Klhl30	2.47E-05	3.2991731
ENSRNOT00000050485	LOC100365136	0.000188459	3.0527796
ENSRNOT00000075578	LOC100365136	0.000321861	2.607801
ENSRNOT00000015907	Ankrd36	2.68E-05	3.9067456
NM_001004210	Xbp1	1.12E-07	7.3691075
NM_001271731	Xbp1	0.000264319	2.2169423
ENSRNOT00000060511	AABR06013141.2	0.01829151	2.3820242
NM_001108467	Eps8l1	3.51E-05	3.8579736
NM_001191945	Ptprh	0.000162959	2.51674
NM_001277261	Tnnt1	0.001311947	2.9134537
NM_001277262	Tnnt1	0.000649644	2.8580843
ENSRNOT00000023246	Tmem238	1.63E-07	4.1182545
ENSRNOT00000066383	Tmem190	0.004653059	2.3534635
NM_001127337	Brsk1	9.67E-05	3.7094849
NM_133519	Il11	1.92E-07	9.7786791
ENSRNOT00000027783	Tmem145	0.001815862	2.404983
NM_001107492	B3gnt8	1.01E-06	3.2519183
NM_001107493	Exosc5	0.000338978	2.0457556
NM_012782	Bckdha	1.22E-05	2.2742546
NM_021578	Tgfb1	1.60E-07	4.3050921
NM_001007735	Sertad1	6.18E-08	2.1832997
NM_001106236	Blvrb	7.84E-08	4.144089
NM_023976	Prx	1.90E-07	3.0994938
NM_001108478	Ttc9b	1.86E-07	6.3938865
NM_001107529	Prc1	0.000166729	2.9174289
NM_001108488	Fes	2.65E-05	2.0314153
NM_031145	Cib1	8.64E-07	2.1775036
ENSRNOT00000044393	Ano9	4.65E-05	2.1548138
ENSRNOT00000054875	Ifitm6	0.021640652	3.555382
NM_001024887	Sigirr	1.92E-07	2.0209065
NM_001106314	Ifitm1	1.27E-05	2.0718483
NM_001106315	Pkp3	8.77E-07	4.6249825
NM_001136124	Ifitm3	2.00E-05	2.0176381
NM_001047108	Lbx1	2.29E-05	2.4059505
NM_001109166	Tlx1	0.00083488	2.165649
ENSRNOT00000019210	Col24a1	3.16E-05	2.0571527
NM_001107450	Clca5	3.03E-07	14.2695526
NM_001107738	Ssfa2	1.00E-07	5.2440335
ENSRNOT00000057878	AABR06024301.1	0.000537423	2.0056653
NM_001012089	Dusp2	8.17E-05	3.5914329
NM_138505	Adra2b	0.000120381	2.6941341
NM_001048075	Clec2g	1.27E-06	4.4320917
NM_001134716	Clec12a	1.52E-06	4.8813024
NM_134327	Cd69	0.000438053	2.7905976
NM_030837	Slc21a4	0.001474884	2.5458441
NM_030986	Ak2	4.27E-10	2.9691818
ENSRNOT00000071046	AABR06041849.1	2.45E-06	2.4548455
NM_001109460	Stx19	5.98E-06	2.0001744
NM_031086	Pros1	4.14E-06	2.764523
ENSRNOT00000059532	RGD1560034	0.004652289	2.4947527
NM_017159	Hal	1.39E-06	4.4025593
NM_001128494	Lyc2	8.34E-06	4.1730147
NM_012771	Lyz2	1.22E-05	6.1385053
NM_001007752	Mns1	1.01E-05	2.1764935
NM_001191080	Golga4	4.06E-06	2.0036723
NM_001106886	RGD1565959	0.000629068	4.3631697
NM_001108788	Foxp4	4.07E-05	3.3573264
ENSRNOT00000017592	LOC100361830	0.000531143	2.5021606
NM_001287025	Gsta3	0.000101601	4.4303103
NM_001122658	Fam178b	0.007710467	2.1684977
NM_053586	Cox5b	1.19E-06	2.2627701
NM_001195482	LOC690871	2.47E-06	2.6985006
NM_001012145	Hgd	2.23E-06	3.6969514
NM_053348	Fetub	6.34E-08	2.9993507
NM_133428	Hrg	7.00E-12	46.0249082
ENSRNOT00000072303	RGD1559588	1.38E-05	2.5268379
ENSRNOT00000073627	AABR06070872.1	1.69E-05	3.0570468
ENSRNOT00000064718	AABR06070882.1	1.94E-05	2.9533525
ENSRNOT00000065873	LOC685181	4.84E-05	2.2138506
ENSRNOT00000073947	AABR06070882.1	2.02E-05	5.7572067
ENSRNOT00000074034	AABR06070908.1	8.17E-05	2.5607959
NM_001013984	Npl	1.87E-05	5.4181457
NM_001106024	Pde6b	4.13E-09	31.8367071
NM_080481	Atp5i	3.41E-07	2.280318
ENSRNOT00000070876	LOC100911107	4.90E-09	22.6874947
NM_001004214	Nqo2	1.28E-05	2.7539742
NM_001014011	Gramd3	3.67E-05	2.1449125
NM_001008833	RT1-CE10	0.018466844	2.2703987
NM_001009651	Clic2	0.000312262	2.1849611
ENSRNOT00000000331	Cep57l1	4.42E-05	2.123118
NM_001106396	Sesn1	8.62E-06	3.4990435
ENSRNOT00000073529	Tceal5	2.86E-06	5.5012253
NM_001077435	Bex2	1.15E-10	12.1797532
NM_053401	Bex3	6.08E-06	2.8779942
NM_001037581	Rhox10	0.000368167	4.3359496
NM_001079896	LOC367975	3.63E-06	6.9675629
ENSRNOT00000065935	AABR06109214.1	3.60E-08	4.1643889
NM_012583	Hprt1	2.59E-08	4.2148661
ENSRNOT00000011090	AABR06056415.1	6.92E-06	2.6236822
NM_001142915	Plod2	7.59E-07	15.1272716
ENSRNOT00000043346	Zbtb47	1.64E-06	3.4811956
NM_012829	Cck	1.13E-07	47.4000081
ENSRNOT00000035033	LOC685888	5.56E-05	2.5613305
NM_001134597	Fam135a	1.65E-06	2.2249213
NM_031579	Ptp4a1	1.35E-06	4.0375631
NM_001108210	Hs6st1	0.000233422	2.6947077
ENSRNOT00000059806	Fer1l5	0.002962671	2.4621752
NM_001012225	Mgat4a	0.009077751	2.9054524
NM_001195488	Coa5	2.59E-07	2.3635469
ENSRNOT00000046557	Creg2	0.000324466	4.45405
ENSRNOT00000047654	Rfx8	4.25E-06	24.6618079
NM_001192002	Mreg	5.52E-06	4.3845428
ENSRNOT00000038922	AABR06069243.1	0.000204429	2.0676087
ENSRNOT00000072533	LOC690700	3.74E-05	2.8586062
ENSRNOT00000061476	AABR06058610.1	0.000120913	2.8977555
ENSRNOT00000071620	LOC100912852	2.62E-05	2.9403889
ENSRNOT00000074599	AABR06058583.1	7.98E-05	3.3914554
ENSRNOT00000064718	AABR06070882.1	1.94E-05	2.9533525
ENSRNOT00000065873	LOC685181	4.84E-05	2.2138506
ENSRNOT00000073947	AABR06070882.1	2.02E-05	5.7572067
ENSRNOT00000074034	AABR06070908.1	8.17E-05	2.5607959
ENSRNOT00000072303	RGD1559588	1.38E-05	2.5268379
ENSRNOT00000073627	AABR06070872.1	1.69E-05	3.0570468
NM_001107080	Dgcr6	3.07E-06	2.7425266
NM_001135778	Prodh	3.56E-05	2.5648772
ENSRNOT00000061769	AABR06096677.1	0.001403506	2.5924874
ENSRNOT00000044037	AABR06096724.1	0.015953127	3.9510057
ENSRNOT00000046676	AABR06096743.1	0.019520536	3.8892309
NM_001190380	Ces2j	0.003519235	4.7983405
NM_001106930	Efcab1	9.52E-05	3.8384384
NM_134411	Rab3il1	9.05E-08	4.1589299
NM_173137	Fads3	0.00040029	2.2458784
NM_001106335	Incenp	1.77E-08	4.4170403
NM_012706	Grpr	6.84E-05	5.7026398
NM_001108255	RGD1565844	0.006152111	2.0823886
NM_001192005	Cd209e	1.29E-05	2.3418625
ENSRNOT00000075527	Tgfbr3l	3.66E-06	3.3269927
NM_001025425	Map2k7	0.000446685	4.8146352
NM_001038615	Fndc1	2.04E-06	5.4174668
ENSRNOT00000025554	Rsph3	3.90E-09	6.1759508
NM_001309449	Tagap	1.40E-05	3.7037752
ENSRNOT00000001203	Wdr95	0.031311805	2.7438869
NM_001107464	Dact2	1.37E-05	4.0453665
NM_001111321	Vom2r80	4.31E-06	2.5550871
NM_001168642	Zfp40	4.08E-08	9.816897
ENSRNOT00000071316	LOC102553890	5.38E-07	3.3429966
NM_001024232	Cyp3a62	0.00044492	2.0009428
NM_001004101	Klk4	0.001786735	56.7509485
NM_053698	Cited2	2.98E-06	3.3310202
NM_001106291	Nlrp10	3.04E-05	6.5515284
NM_001115045	Ric3	2.53E-08	2.2410303
NM_013077	Tub	1.13E-05	2.1749041
NM_139112	Lmo1	3.96E-06	3.9026608
NM_001048180	Sh2b1	0.000487573	2.0634977
NM_001048180	Sh2b1	0.000487573	2.0634977
ENSRNOT00000073836	AABR06009118.1	4.02E-05	2.2283027
ENSRNOT00000073836	AABR06009118.1	4.02E-05	2.2283027
NM_001190162	Igf2	0.000601459	2.8817285
NM_001190163	Igf2	0.009615818	2.5093967
NM_019130	Ins2	0.000323938	2.3802558
NM_012740	Th	5.78E-06	5.1555373
NM_031503	Ascl2	2.45E-05	2.9513483
NM_001191897	Ms4a15	2.85E-09	4.5147525
NM_181082	Ms4a14	4.00E-05	3.2156511
ENSRNOT00000074966	LOC100911403	0.000630294	2.2127407
NM_057211	Klf9	8.48E-06	2.7141273
NM_001014166	Il33	1.63E-05	5.8200254
NM_001014167	Rnls	3.04E-06	2.144892
NM_001107593	Cnnm1	2.06E-07	3.3764832
NM_001135762	Hpse2	0.003301463	2.5564593
ENSRNOT00000044195	LOC100911951	5.07E-08	7.3270224
NM_030850	Bhmt	2.82E-06	2.525821
NM_001134413	Gltp	1.21E-09	2.527608
NM_001009682	Oasl2	2.27E-06	2.4391489
ENSRNOT00000060511	AABR06013141.2	0.01829151	2.3820242
ENSRNOT00000060511	AABR06013141.2	0.01829151	2.3820242
NM_001289942	Slc1a3	7.14E-05	2.8321545
NM_001289943	Slc1a3	2.02E-06	2.1160157
NM_019225	Slc1a3	1.58E-05	4.0492345
NM_001134436	C1qtnf3	1.19E-06	25.2679872
NM_012816	Amacr	1.32E-06	5.9355837
NM_001011947	Rai14	2.26E-06	2.7767599
NM_001012181	Elf2	2.62E-06	3.4386118
NM_001109556	Mgarp	8.58E-06	7.0797665
NM_001100700	Sfrp2	1.05E-07	8.6191554
ENSRNOT00000044499	AABR06018641.1	2.33E-07	3.1593562
ENSRNOT00000076609	Fbxw7	0.000212066	2.1280202
NM_001134592	Fam160a1	0.000296144	2.743711
ENSRNOT00000044499	AABR06018641.1	2.33E-07	3.1593562
ENSRNOT00000076609	Fbxw7	0.000212066	2.1280202
NM_001134592	Fam160a1	0.000296144	2.743711
NM_001106452	Man1a2	4.48E-06	3.416117
NM_001024244	Vtcn1	6.38E-09	8.7029046
NM_012970	Kcna2	9.53E-05	2.1790319
NM_019270	Kcna3	2.52E-08	12.1012824
ENSRNOT00000025222	Csf1	2.22E-05	3.2444667
NM_053725	Itga6	1.79E-07	5.0489238
ENSRNOT00000031418	AABR06024097.1	1.48E-06	2.908445
ENSRNOT00000031418	AABR06024097.1	1.48E-06	2.908445
ENSRNOT00000031418	AABR06024097.1	1.48E-06	2.908445
ENSRNOT00000002063	AABR06024480.1	8.26E-06	3.101724
NM_017269	Ptprj	2.12E-05	2.5905387
ENSRNOT00000067067	Agbl2	1.40E-05	2.0675088
