#NearbyGene	NearbyGeneSymbol	P-value - mRNAs	Fold change - mRNAs
NM_001107354	Hist1h2an	0.000620136	2.3835451
NM_001315492	Hist1h2ah	3.71E-05	7.2207976
NM_053301	Hfe	1.69E-05	3.0505158
NM_133285	Hist1h1d	5.36E-05	10.4233999
NM_177930	Vac14	5.75E-05	2.0376352
NM_001000017	Olr1440	3.52E-05	2.7665132
ENSRNOT00000064773	Pcdh10	0.000307858	5.8816543
NM_001105811	Rilp	9.31E-05	3.1339107
NM_001191590	Prpf8	7.42E-05	2.7094883
NM_001106171	Tox3	0.001163286	2.898024
NM_001106067	Colgalt1	0.00048871	2.1249269
NM_012855	Jak3	3.64E-06	2.407573
NM_001011919	Gtpbp3	3.72E-06	2.4445739
NM_001108559	Prpf3	1.37E-06	2.4937442
NM_001134593	Ciart	2.51E-06	2.9643157
ENSRNOT00000074839	LOC100912283	4.74E-07	6.1781708
NM_001079888	Mmp28	0.015558064	2.2730597
NM_001107031	Slfn2	0.028525127	2.2015718
ENSRNOT00000020866	Rimklb	2.72E-05	2.6101016
NM_012907	Apobec1	0.009917951	3.3592328
NM_001109352	Foxj2	1.02E-06	5.6460847
NM_001037285	Hnrnpf	0.04474197	2.1323059
NM_001134908	Zfp637	6.69E-05	2.074936
NM_022388	Fxyd4	8.08E-05	502.8357102
ENSRNOT00000042277	Rasgef1a	1.28E-05	3.3084997
ENSRNOT00000075379	AABR06045579.1	0.002660853	3.0105803
NM_001107848	Ophn1	1.64E-06	3.3143602
NM_023957	Arhgef9	8.42E-05	2.1249828
ENSRNOT00000047825	AABR06045135.1	1.37E-05	7.1971841
ENSRNOT00000021014	RGD1560857	4.51E-07	2.0325912
ENSRNOT00000073612	LOC680653	0.000122987	2.4136176
NM_001009969	Spetex-2H	0.00112009	2.9337357
NM_001009971	Spetex-2G	0.001352783	2.2273153
ENSRNOT00000061040	LOC100359853	0.001629847	2.5256911
ENSRNOT00000072836	LOC100363894	4.76E-05	2.0591163
NM_001037660	Csf2ra	0.002793407	2.421656
NM_001139492	Ppp2r3b	3.49E-06	2.4985015
NM_152938	Slc4a9	0.02361083	3.9295486
NM_001017932	Wdr55	0.000104944	3.4624493
NM_001017493	LOC498265	0.000102923	2.9534974
NM_001108172	Ttk	5.41E-07	14.1750284
NM_001191796	Elovl4	0.000247366	2.9772969
NM_001000662	Olr582	2.62E-05	2.2113841
NM_001000656	Olr604	0.000939974	2.3120591
NM_017356	Hpcal1	0.00210141	2.2531812
NM_031719	Clns1a	0.00011483	2.0669953
ENSRNOT00000041480	AABR06019053.1	7.98E-06	2.7602036
ENSRNOT00000012464	Lce1d	2.16E-06	3.9186709
ENSRNOT00000065242	LOC679475	2.59E-06	11.1679385
ENSRNOT00000075788	AABR06019044.1	9.59E-05	2.5612232
NM_001109188	Lce1f	2.17E-05	9.3218841
ENSRNOT00000072074	OLR1740-PS	4.69E-05	2.4682315
ENSRNOT00000073673	AABR06058552.1	0.003600991	2.3299429
NM_001000548	Olr158	0.00464657	2.2787837
NM_001000174	Olr168	5.68E-05	2.4102367
NM_001107724	Tram1l1	0.000924343	2.023064
NM_001002291	Olr1384	0.001064496	2.4376414
NM_172019	Ifi47	0.000212233	2.3130417
ENSRNOT00000007843	RGD1311744	1.68E-05	5.6626898
ENSRNOT00000036054	RGD1311744	2.20E-05	5.1777886
ENSRNOT00000066669	RGD1311744	0.000111346	3.2592042
NM_001098674	Ercc6l	9.14E-06	8.1273196
NM_172055	Cited1	0.000120492	4.1446124
NM_001271090	Marcks	0.014691814	2.1073651
NM_001012137	Fus	0.000127758	3.8330345
ENSRNOT00000003857	Ankrd45	0.006236204	2.2568131
NM_001244761	Cenpl	8.86E-05	2.3792497
NM_001106398	Mcu	0.022823158	2.062652
NM_199412	Micu1	0.000714004	2.0145873
ENSRNOT00000047419	AABR06029412.1	4.69E-06	5.3010957
NM_001007150	Stau2	0.000106502	4.0590426
NM_134466	Stau2	0.000165011	2.7169195
NM_001270562	Tceb1	5.34E-07	2.9081657
ENSRNOT00000072019	LOC682330	0.000396958	2.2970983
NM_001106113	Hist1h1a	9.55E-05	5.7995684
ENSRNOT00000075069	LOC684828	0.001831906	2.2778799
NM_001013056	Hist1h2ail1	0.000197712	2.2697231
NM_001024282	Hist1h2af	1.55E-05	6.3371075
NM_001107354	Hist1h2an	0.000620136	2.3835451
NM_001315492	Hist1h2ah	3.71E-05	7.2207976
NM_022647	Hist1h2bl	0.00010588	3.732817
NM_053301	Hfe	1.69E-05	3.0505158
NM_133285	Hist1h1d	5.36E-05	10.4233999
ENSRNOT00000050392	LOC100912416	7.95E-05	6.7809752
ENSRNOT00000076650	LOC100912416	6.55E-05	4.1629857
NM_001191722	Fndc3c1	0.000183321	22.4219573
ENSRNOT00000008212	Reg3b	0.000114042	2.8126381
ENSRNOT00000043153	LOC316935	0.000609778	2.4646203
ENSRNOT00000072780	AABR06004569.1	1.41E-06	6.8361243
NM_001244761	Cenpl	8.86E-05	2.3792497
ENSRNOT00000003789	Kif4a	5.51E-06	12.1990373
NM_001107031	Slfn2	0.028525127	2.2015718
NM_001008751	Krt14	0.005385192	2.8563829
NM_001008816	Krt42	0.006216956	3.4448069
NM_177982	Hap1	2.93E-05	2.467518
NM_212545	Krt17	0.005069596	2.0434933
NM_001004021	Krt13	9.84E-05	2.6554574
ENSRNOT00000063806	Krtap4-5	7.28E-07	2.4134719
NM_001004021	Krt13	9.84E-05	2.6554574
NM_001004021	Krt13	9.84E-05	2.6554574
NM_001008751	Krt14	0.005385192	2.8563829
NM_001191821	Frmd4a	0.000801763	2.3889913
ENSRNOT00000073122	Nr2e3	8.62E-05	23.008704
NM_001098674	Ercc6l	9.14E-06	8.1273196
NM_172055	Cited1	0.000120492	4.1446124
NM_001107848	Ophn1	1.64E-06	3.3143602
ENSRNOT00000044008	Sec16b	2.65E-05	2.3643034
NM_001014222	Dmrtc1c1	0.000183138	2.1873173
ENSRNOT00000072531	LOC691984	3.41E-06	5.8861396
ENSRNOT00000074982	LOC691984	1.73E-06	11.5753311
ENSRNOT00000076400	LOC691984	1.25E-07	8.4789678
ENSRNOT00000065987	LOC100910068	0.000134083	2.2559781
ENSRNOT00000076932	Gml	3.89E-05	17.3933768
NM_053479	Pola1	2.43E-05	5.7045675
ENSRNOT00000001187	LOC304239	0.000770098	3.0049219
ENSRNOT00000076491	LOC304239	0.001039272	2.9847225
NM_001108343	Etnk2	3.21E-05	2.2761977
NM_012642	Ren	0.000604252	2.3056182
NM_001270664	Tnnt3	0.034786494	2.4254785
NM_001270665	Tnnt3	0.011782139	2.6341648
NM_001270666	Tnnt3	0.000594315	3.5392939
NM_001270668	Tnnt3	0.023759292	2.2609151
NM_001270670	Tnnt3	0.015972772	2.5019258
NM_001270671	Tnnt3	0.008436301	2.697033
NM_001270672	Tnnt3	0.007323033	2.4550673
NM_001270673	Tnnt3	0.045231542	2.0684458
NM_001270676	Tnnt3	0.009132177	2.7766186
NM_001270677	Tnnt3	0.009239763	2.8366239
NM_017185	Tnni2	0.002684402	5.9764441
NM_031532	Tnnt3	0.020344193	2.3156097
NM_053325	Syt8	6.42E-05	2.0362669
NM_001190162	Igf2	1.06E-05	11.1238973
NM_001190163	Igf2	4.04E-05	10.7774087
NM_019130	Ins2	2.90E-05	2.6300514
NM_001106198	Pgbd5	0.002788585	2.188719
NM_001012218	Trim55	1.63E-05	3.7197457
NM_031019	Crh	0.000960387	2.8433591
ENSRNOT00000072620	AABR06000596.1	0.002847959	2.0833331
NM_001025002	LOC310926	0.024151782	4.5454118
ENSRNOT00000067235	Ms4a18	1.26E-05	3.6859398
NM_001191897	Ms4a15	0.002501407	2.2365485
ENSRNOT00000074966	LOC100911403	0.001628721	2.3616209
NM_001047108	Lbx1	2.76E-05	2.1787259
NM_001109166	Tlx1	2.32E-05	5.5039102
NM_001134560	Rd3l	0.001777626	25.8542136
NM_001108062	Ppp1r13b	1.20E-05	3.5312822
ENSRNOT00000009097	Tgm6	0.038793951	2.3021984
NM_001107771	Anapc1	0.000200186	2.1347301
NM_022943	Mertk	0.000231884	2.4851518
NM_012936	Crybb1	5.35E-05	2.4257422
NM_031689	Cryba4	0.018719961	2.4383942
NM_001014793	Kpna4	0.000338823	2.192811
ENSRNOT00000031978	LOC691354	0.020409456	2.1275443
ENSRNOT00000041538	Mef2c	3.85E-08	2.3854457
ENSRNOT00000076084	Mef2c	0.000455619	2.0742371
ENSRNOT00000076239	Mef2c	0.00524751	2.0177273
NM_001106992	Cpeb4	0.000317527	3.3834926
NM_057188	Gmpr	6.89E-05	2.7372246
ENSRNOT00000014468	Dlx6	1.67E-05	3.3051149
ENSRNOT00000076086	Dlx6	2.79E-05	2.7594129
ENSRNOT00000014468	Dlx6	1.67E-05	3.3051149
ENSRNOT00000076086	Dlx6	2.79E-05	2.7594129
NM_053583	Zfp423	0.000176399	2.6092235
ENSRNOT00000030993	LOC685114	8.40E-07	3.1852495
NM_001108885	Klhl14	0.002649504	16.3559934
NM_053479	Pola1	2.43E-05	5.7045675
ENSRNOT00000061709	RGD1565158	1.99E-07	4.5379284
ENSRNOT00000006676	Tlx3	1.37E-06	3.176016
ENSRNOT00000075379	AABR06045579.1	0.002660853	3.0105803
NM_021754	Nop58	7.80E-05	2.1276054
NM_199400	Ica1l	0.000390066	2.4471707
NM_001108309	Sec14l1	2.03E-06	3.0764697
NM_001015021	Dnajb11	0.00035042	2.0570722
NM_053348	Fetub	0.001451016	2.794268
NM_133428	Hrg	0.001308869	10.4696756
NM_013126	Dgkg	0.000108933	2.5065998
ENSRNOT00000071232	Prrg3	0.000365849	2.211163
NM_001106220	Nlrp4a	2.17E-05	4.7350493
NM_001034138	Spdl1	0.000141266	2.906393
NM_001002291	Olr1384	0.001064496	2.4376414
NM_172019	Ifi47	0.000212233	2.3130417
NM_001030023	Map2k4	0.048421731	2.2655196
NM_001085381	Gjc1	0.000152309	3.7623139
NM_172035	Fzd2	0.000140034	3.831347
NM_001013119	Gna13	0.001439669	2.1332926
NM_019224	Rgs9	0.022935567	2.2859465
NM_053570	Cxadr	0.004088977	3.2006424
NM_001105869	Rfc4	1.06E-06	3.0291279
NM_144744	Adipoq	0.000217435	6.2910056
NM_012722	Eln	3.16E-05	2.2199395
NM_053786	Rfc2	1.49E-05	2.4317395
NM_173840	Lat2	0.001738555	5.4472353
NM_021997	Clip2	0.000421952	2.9203146
NM_001108332	Wbscr16	3.17E-06	2.5835543
ENSRNOT00000044017	Atp8a1	0.001587059	2.354565
ENSRNOT00000065214	Atp8a1	0.00038495	2.3644647
NM_001109087	Shisa3	0.000135811	3.2755166
NM_001013875	Rhbdd3	9.09E-05	7.792196
NM_001108862	Rasl10a	8.07E-06	3.7723552
NM_001109467	Emid1	3.55E-05	4.5224527
NM_001308298	Ap1b1	0.000198364	2.2115447
NM_001109106	Hesx1	0.007752986	6.4626505
NM_001191937	Il17rd	0.000393337	3.6414944
NM_001107317	Mboat4	1.25E-05	3.7454921
NM_001047978	LOC689713	3.11E-05	2.6531439
NM_138893	Myo16	0.004883515	8.2283033
NM_022179	Hk3	0.00534135	2.4662498
NM_022206	Unc5a	1.93E-05	3.6186794
ENSRNOT00000075579	Eif4e1b	1.10E-08	24.490813
NM_001013138	Tspan17	4.08E-05	3.1781742
NM_012546	Drd1	2.35E-05	3.3950499
NM_057188	Gmpr	6.89E-05	2.7372246
NM_001012214	Serpinb6b	6.67E-06	4.4449808
NM_001025720	Dhtkd1	0.000135886	3.5792304
NM_001107415	Sall1	0.001280024	4.5652584
ENSRNOT00000026767	Egln1	0.000612884	2.1987148
ENSRNOT00000026767	Egln1	0.000612884	2.1987148
NM_001107451	Slc2a12	3.71E-05	2.6189878
NM_001193569	Sgk1	0.000281285	2.3668081
NM_019232	Sgk1	0.003258919	2.1062635
ENSRNOT00000039493	AABR06007876.1	1.90E-06	6.7736296
NM_001108922	Stk32c	1.33E-06	5.6405974
ENSRNOT00000074429	LOC100912537	2.36E-06	2.2367218
NM_001108524	Aldh18a1	6.30E-05	2.9021955
NM_080782	Cdkn1a	0.002595064	5.619328
ENSRNOT00000017748	AABR06100250.1	5.05E-06	3.70326
NM_001107623	Tmem26	0.000229065	2.4651518
NM_017110	Cartpt	1.03E-07	309.7864517
NM_001108547	Ect2	3.21E-06	19.619471
NM_001127524	Nceh1	0.00024172	2.3590856
ENSRNOT00000026514	Smg5	0.004935033	2.2011353
NM_001191568	Pmf1	0.00025417	3.4449906
NM_013414	Bglap	0.001864231	5.4418893
NM_001024979	Gpatch4	5.20E-06	3.2377474
NM_001191709	Iqgap3	0.000166652	3.6679495
NM_001001508	Plppr4	0.033979218	2.3266949
ENSRNOT00000021988	Frrs1	0.015933226	2.1399612
NM_001025688	Palmd	0.000365282	5.7870656
NM_013057	F3	0.000384619	4.9252814
ENSRNOT00000014695	Zgrf1	0.04717877	2.2522423
ENSRNOT00000035843	AABR06020571.1	0.000643244	2.3513677
NM_001012084	Adh6	2.58E-06	7.8967525
NM_138710	Dab2ip	9.80E-07	89.6405155
NM_001107842	Golga1	0.019147731	2.0895978
NM_001106572	Olfml2a	0.034752425	2.1098403
NM_001144862	LOC691083	0.000574997	5.2830238
NM_001107782	Btbd3	0.000587512	6.4390399
NM_001025768	Dsn1	7.31E-07	4.1753517
NM_001172118	Sla2	1.32E-05	3.5564498
NM_001047111	Dbndd2	0.005446366	3.0764069
NM_001106539	Matn4	0.00027832	4.4622526
NM_001108604	Rbpjl	5.18E-05	2.9264367
NM_012649	Sdc4	0.000768657	2.5931988
NM_001008872	Slpil2	0.006175717	2.3452281
NM_214459	Phactr3	3.30E-06	75.0351555
NM_022267	Ccnd2	5.14E-05	3.0128787
ENSRNOT00000026796	Dyrk4	0.000454593	2.7560684
NM_001079711	Rad51ap1	3.59E-07	13.7358901
NM_001048075	Clec2g	0.004823308	2.19725
NM_080579	Gpr19	0.000429066	2.3452051
NM_080579	Gpr19	0.000429066	2.3452051
NM_013089	Gys2	2.92E-05	2.3175293
ENSRNOT00000059627	Ptpn3	0.000173522	2.0483236
ENSRNOT00000011962	Foxd3	0.048237917	2.0248369
NM_199253	Pcsk9	1.04E-05	11.2848169
NM_001191612	Zfp362	2.32E-05	2.695174
NM_138524	A3galt2	0.000648006	3.6091977
NM_012554	Eno1	0.003082256	2.6914392
NM_001170568	Baz1a	0.001062625	2.1775213
NM_001039325	Zdhhc22	2.38E-06	14.1635802
NM_001012470	Irf2bpl	0.000313841	2.1749352
NM_001108051	Slc24a4	0.034044575	4.9071804
NM_001109672	Ccnk	0.004095679	2.2310709
NM_053744	Dlk1	0.000224086	2.082788
NM_017210	Dio3	0.000286654	2.5996987
NM_001108061	Amn	0.000541814	2.0015633
NM_001108724	Traf3	0.005127151	2.4580315
ENSRNOT00000018225	INF2	0.001631512	2.5290746
ENSRNOT00000039631	Ahnak2	0.017867373	2.0192172
NM_001126288	Pld4	0.00074775	4.9529416
NM_001108085	Cradd	0.001080958	2.1391035
NM_001108085	Cradd	0.001080958	2.1391035
NM_017258	Btg1	0.001705162	2.9633795
NM_001008322	Shmt2	6.00E-05	2.4323794
NM_001130557	R3hdm2	2.16E-05	4.5734369
NM_001130558	Stac3	6.43E-05	5.7315438
NM_001271272	Ndufa4l2	0.00011124	4.7998909
NM_001004239	Dctn2	0.000984533	2.0339291
NM_001008384	Rac2	0.001057244	3.7383081
NM_001130577	Cyth4	0.00846492	3.0992599
NM_138843	Mpst	0.004142566	3.0188806
NM_001134884	Scube1	4.63E-06	9.6004127
NM_001135922	Ttll12	4.21E-06	7.3210308
NM_138544	Fat3	9.91E-05	5.6446864
NM_012572	Grik4	5.45E-05	2.1732982
NM_001012125	Loxl1	0.004129706	2.3282139
NM_001014092	Paqr5	0.001296564	5.58527
NM_001014092	Paqr5	0.001296564	5.58527
NM_001014092	Paqr5	0.001296564	5.58527
ENSRNOT00000043346	Zbtb47	0.000443153	2.2583087
NM_031241	Cyp8b1	0.000305542	2.0390655
ENSRNOT00000036359	Abca12	2.60E-06	2.4103407
NM_019143	Fn1	2.82E-05	5.2428061
NM_019143	Fn1	2.82E-05	5.2428061
NM_001192002	Mreg	6.89E-05	5.2564162
NM_019143	Fn1	2.82E-05	5.2428061
NM_017056	Tnp1	0.000206435	2.3193335
NM_031645	Ramp1	6.03E-05	5.0252734
ENSRNOT00000013501	Polr3a	9.16E-05	2.7950413
ENSRNOT00000015907	Ankrd36	7.59E-06	3.6140188
ENSRNOT00000075867	Ankrd36	0.001744142	3.2480229
NM_001004210	Xbp1	1.00E-05	5.4797425
ENSRNOT00000072620	AABR06000596.1	0.002847959	2.0833331
NM_001025002	LOC310926	0.024151782	4.5454118
NM_001108467	Eps8l1	0.0014667	4.2881067
NM_001191945	Ptprh	9.18E-06	2.1478541
NM_001271115	Dnaaf3	0.037585485	2.2165857
NM_017144	Tnni3	0.041984941	2.259798
NM_133519	Il11	0.001249204	2.1404637
NM_001107491	Cxcl17	0.00073443	2.7854345
NM_001107492	B3gnt8	7.51E-05	7.4628056
NM_001109453	Erich4	2.96E-06	9.0345069
NM_145774	Rab38	0.000228307	3.1386571
NM_001033064	Kazald1	8.60E-05	2.8156283
NM_001047108	Lbx1	2.76E-05	2.1787259
NM_001109166	Tlx1	2.32E-05	5.5039102
NM_001012181	Elf2	2.36E-05	2.8470423
ENSRNOT00000019210	Col24a1	0.002077354	2.6183003
NM_001107450	Clca5	3.71E-05	13.367736
NM_001107830	Lamc3	8.07E-08	4.0047238
NM_001108578	Aif1l	0.003025822	3.4421928
ENSRNOT00000043661	LOC100909750	0.039581722	2.0684426
NM_139090	Acvr1c	5.95E-05	2.7678833
NM_031796	Galnt5	0.000818737	2.7441021
NM_001172118	Sla2	1.32E-05	3.5564498
NM_001025768	Dsn1	7.31E-07	4.1753517
NM_031557	Ptgis	2.35E-06	3.799834
NM_001109227	Tspan33	0.00021644	8.9852997
NM_001173510	Ahcyl2	0.006160686	2.2533683
ENSRNOT00000072199	LOC100911099	6.99E-05	4.7949155
NM_031650	Slco1b2	5.34E-05	2.4000956
ENSRNOT00000072835	AABR06036454.1	0.002842865	3.9165538
NM_001007702	RGD1359108	0.000663771	2.057543
NM_001100535	Col15a1	0.0264298	2.1755326
ENSRNOT00000011112	Galnt12	0.000320237	14.1024727
NM_001015028	Anks6	1.13E-05	4.5239157
NM_017122	Hpca	5.35E-05	2.4580753
NM_001012136	Gtf2a1l	0.007991869	2.0174531
NM_001012470	Irf2bpl	0.000313841	2.1749352
NM_001039325	Zdhhc22	2.38E-06	14.1635802
ENSRNOT00000035255	Ncapg2	2.62E-07	3.5704087
NM_031086	Pros1	3.45E-06	3.3855584
NM_001128494	Lyc2	0.004095187	2.0089982
NM_012771	Lyz2	0.001303879	3.0970713
NM_001025007	RGD1310852	0.000221584	2.7590649
NM_013196	Ppara	2.89E-05	2.2370611
NM_001191080	Golga4	1.32E-05	2.2599561
ENSRNOT00000074267	LOC683029	1.75E-05	2.7800047
NM_001106886	RGD1565959	1.55E-07	12.4120026
NM_001012002	Zap70	6.48E-05	2.2232783
NM_001105765	Zfp13	0.000353875	2.3211051
ENSRNOT00000005879	Flywch1	4.62E-05	2.500896
NM_001017377	Paqr4	0.000132398	3.0392794
NM_001105766	Pkmyt1	0.000316471	2.2521986
NM_001105767	Kremen2	0.000179542	5.4213334
NM_001106983	Prss32	2.80E-06	37.8490656
NM_001109027	Prss33	0.00015319	2.0685165
ENSRNOT00000016924	Mllt6	9.95E-08	2.4568364
NM_001105835	Cisd3	3.00E-05	2.7495978
NM_001108295	Cwc25	0.004731711	2.1099657
NM_001109627	LOC691153	2.37E-05	2.4009611
NM_032613	Lasp1	8.00E-06	15.0976604
NM_001015021	Dnajb11	0.00035042	2.0570722
NM_053348	Fetub	0.001451016	2.794268
NM_133428	Hrg	0.001308869	10.4696756
ENSRNOT00000001199	B3galtl	3.42E-07	2.7307431
NM_001100491	Mc2r	0.007734567	3.1133452
ENSRNOT00000041115	LOC685411	2.40E-05	6.3099978
ENSRNOT00000042150	LOC100909409	9.44E-05	13.1805885
ENSRNOT00000049860	LOC685160	1.63E-06	2.4024457
NM_001135839	Naa10	0.000169712	2.2147574
NM_001037973	Dusp9	0.000185488	10.9901304
ENSRNOT00000000753	Tfam	9.20E-05	2.214832
NM_134417	Ipmk	3.43E-05	3.8849785
NM_001108531	Bicc1	0.000778572	2.334504
NM_001108818	Pbdc1	5.13E-05	2.8923194
ENSRNOT00000072527	Phf6	2.37E-06	3.1747759
NM_001011998	Fbxo9	9.97E-05	2.1939244
ENSRNOT00000000233	LOC100909835	0.001107915	2.2515966
NM_001106840	Gsta4	0.000218486	2.3856652
ENSRNOT00000067996	RGD1560775	0.001077053	2.722094
NM_133416	Bcl2a1	0.011445381	3.0628457
ENSRNOT00000011090	AABR06056415.1	0.002714899	2.1694741
NM_001142915	Plod2	0.001890987	5.4196718
NM_001271438	Slc9a9	0.024464493	2.0078876
NM_019333	Pfkfb4	0.000101486	2.0009524
NM_021660	Ip6k2	0.000626986	3.39739
NM_001106860	Spink8	0.00017082	8.6519675
NM_001191884	Nme6	1.68E-05	2.0943534
NM_001170539	Stt3b	0.000214361	2.0929254
NM_178106	Entpd3	6.18E-05	15.7887072
NM_001100842	Col9a1	0.037796997	2.4249252
ENSRNOT00000059806	Fer1l5	0.000530108	3.3827156
NM_001034934	Arid5a	0.000191103	2.3604499
ENSRNOT00000059806	Fer1l5	0.000530108	3.3827156
NM_001034934	Arid5a	0.000191103	2.3604499
ENSRNOT00000046557	Creg2	1.01E-06	19.3557016
ENSRNOT00000072983	AABR06060732.1	0.00029103	2.4847287
NM_021740	Ptma	0.000225653	2.0174863
NM_145083	Lrrc15	0.001246551	2.0247746
ENSRNOT00000035338	Dgkd	8.07E-05	2.3829109
NM_175846	Ugt1a8	0.000738467	2.1296182
NM_145083	Lrrc15	0.001246551	2.0247746
NM_145083	Lrrc15	0.001246551	2.0247746
ENSRNOT00000072533	LOC690700	0.000732255	2.5273308
NM_001012742	Wee1	1.17E-05	2.4875011
NM_001134970	Sbf2	0.000184225	2.607674
ENSRNOT00000013501	Polr3a	9.16E-05	2.7950413
